축제명,그룹명,개최년도,구분명,지표값
밀양아리랑대축제,축제기간,2025,외부방문자 유입,0.503
밀양아리랑대축제,축제기간,2025,현지인방문자 유입,0.9
밀양아리랑대축제,축제기간,2025,내비게이션 검색량,0.556
밀양아리랑대축제,축제기간,2025,관광소비,0.485
밀양아리랑대축제,축제기간,2025,축제지 집중률,0.9
밀양아리랑대축제,비축제기간,2025,외부방문자 유입,0.3
밀양아리랑대축제,비축제기간,2025,현지인방문자 유입,0.852
밀양아리랑대축제,비축제기간,2025,내비게이션 검색량,0.294
밀양아리랑대축제,비축제기간,2025,관광소비,0.463
밀양아리랑대축제,비축제기간,2025,축제지 집중률,0.631
밀양아리랑대축제,축제기간,2024,외부방문자 유입,0.563
밀양아리랑대축제,축제기간,2024,현지인방문자 유입,0.92
밀양아리랑대축제,축제기간,2024,내비게이션 검색량,0.641
밀양아리랑대축제,축제기간,2024,관광소비,0.661
밀양아리랑대축제,축제기간,2024,축제지 집중률,0.927
밀양아리랑대축제,비축제기간,2024,외부방문자 유입,0.29
밀양아리랑대축제,비축제기간,2024,현지인방문자 유입,0.806
밀양아리랑대축제,비축제기간,2024,내비게이션 검색량,0.253
밀양아리랑대축제,비축제기간,2024,관광소비,0.581
밀양아리랑대축제,비축제기간,2024,축제지 집중률,0.57
밀양아리랑대축제,축제기간,2023,외부방문자 유입,0.467
밀양아리랑대축제,축제기간,2023,현지인방문자 유입,0.927
밀양아리랑대축제,축제기간,2023,내비게이션 검색량,0.495
밀양아리랑대축제,축제기간,2023,관광소비,0.592
밀양아리랑대축제,축제기간,2023,축제지 집중률,0.889
밀양아리랑대축제,비축제기간,2023,외부방문자 유입,0.289
밀양아리랑대축제,비축제기간,2023,현지인방문자 유입,0.845
밀양아리랑대축제,비축제기간,2023,내비게이션 검색량,0.286
밀양아리랑대축제,비축제기간,2023,관광소비,0.568
밀양아리랑대축제,비축제기간,2023,축제지 집중률,0.616
