구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,삼문동,장미공원,경남 밀양시,도시공원
외지인,2,삼문동,밀양아리랑대축제,경남 밀양시,기타문화관광지
외지인,3,삼문동,밀양강둔치공원,경남 밀양시 미리벌중앙로7길 6-10,도시공원
외지인,4,삼문동,삼문풋살경기장,경남 밀양시,레저스포츠시설
외지인,5,삼문동,상동면장미축제,경남 밀양시,기타문화관광지
외지인,6,삼문동,밀양강오딧세이,경남 밀양시,기타문화관광지
외지인,7,삼문동,밀양강보트장,경남 밀양시,수상레저스포츠
외지인,8,삼문동,밀양온천,경남 밀양시 삼문강변로 82-0,웰니스관광
외지인,9,삼문동,밀양수변공원,경남 밀양시,도시공원
외지인,10,삼문동,밀양강둔치야외공연장,경남 밀양시,공연시설
전체,1,삼문동,장미공원,경남 밀양시,도시공원
전체,2,삼문동,밀양아리랑대축제,경남 밀양시,기타문화관광지
전체,3,삼문동,밀양강둔치공원,경남 밀양시 미리벌중앙로7길 6-10,도시공원
전체,4,삼문동,삼문풋살경기장,경남 밀양시,레저스포츠시설
전체,5,삼문동,상동면장미축제,경남 밀양시,기타문화관광지
전체,6,삼문동,밀양강오딧세이,경남 밀양시,기타문화관광지
전체,7,삼문동,밀양강보트장,경남 밀양시,수상레저스포츠
전체,8,삼문동,밀양온천,경남 밀양시 삼문강변로 82-0,웰니스관광
전체,9,삼문동,밀양수변공원,경남 밀양시,도시공원
전체,10,삼문동,밀양강둔치야외공연장,경남 밀양시,공연시설
현지인,1,삼문동,장미공원,경남 밀양시,도시공원
현지인,2,삼문동,밀양아리랑대축제,경남 밀양시,기타문화관광지
현지인,3,삼문동,밀양강둔치공원,경남 밀양시 미리벌중앙로7길 6-10,도시공원
현지인,4,삼문동,삼문풋살경기장,경남 밀양시,레저스포츠시설
현지인,5,삼문동,상동면장미축제,경남 밀양시,기타문화관광지
현지인,6,삼문동,밀양강보트장,경남 밀양시,수상레저스포츠
현지인,7,삼문동,밀양온천,경남 밀양시 삼문강변로 82-0,웰니스관광
현지인,8,삼문동,밀양강오딧세이,경남 밀양시,기타문화관광지
현지인,9,삼문동,밀양강둔치야외공연장,경남 밀양시,공연시설
현지인,9,삼문동,밀양수변공원,경남 밀양시,도시공원
