구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,진안읍,진안홍삼축제,전북 진안군,기타문화관광지
외지인,2,진안읍,진안홍삼스파,전북 진안군 외사양길 16-10,웰니스관광
외지인,3,진안읍,진안종합버스터미널,전북 진안군 진무로 1120-0,교통시설
외지인,4,진안읍,진안고원시장,전북 진안군 시장1길 16-0,시장
외지인,5,진안읍,마이산북부관광안내소,전북 진안군 마이산로 130-0,기타관광
외지인,6,진안읍,진안가위박물관,전북 진안군 마이산로 258-0,전시시설
외지인,7,진안읍,진안역사박물관,전북 진안군 내사양길 7-0,전시시설
외지인,8,진안읍,마이돈농촌테마공원,전북 진안군 마이산로 160-0,도시공원
외지인,9,진안읍,반월제,전북 진안군,자연경관(하천/해양)
외지인,10,진안읍,산약초타운,전북 진안군 외사양길 16-19,기타관광
외지인,11,진안읍,마이산북부예술관광단지,전북 진안군 외사양길 16-19,복합관광시설
외지인,12,진안읍,부귀산전망대,전북 진안군,랜드마크관광
외지인,13,진안읍,마이정원,전북 진안군,도시공원
외지인,14,진안읍,진안문화의집,전북 진안군 대성길 3-0,기타문화관광지
외지인,15,진안읍,진안고추시장,전북 진안군 진무로 1166-0,시장
외지인,16,진안읍,진안전통문화전수관,전북 진안군 우화2길 35-0,기타문화관광지
외지인,16,진안읍,사양제,전북 진안군,자연경관(하천/해양)
외지인,18,진안읍,용담호자연생태습지공원,전북 진안군 진무로 1514-0,도시공원
외지인,19,진안읍,마이열차,전북 진안군,기타관광
외지인,20,진안읍,마이산여행자센터,전북 진안군 마이산로 160-0,기타관광
외지인,20,진안읍,마이산명인명품관,전북 진안군 마이산로 246-0,기타관광
외지인,20,진안읍,고림사,전북 진안군 상역로 174-96,종교성지
외지인,20,진안읍,진안꽃잔디동산,전북 진안군 전진로 3071-31,테마공원
외지인,24,진안읍,군상제,전북 진안군,자연경관(하천/해양)
외지인,24,진안읍,산약초전시관,전북 진안군 외사양길 16-19,전시시설
외지인,24,진안읍,가림제,전북 진안군,자연경관(하천/해양)
외지인,24,진안읍,평강팜스테이,전북 진안군 동구점길 6-98,농/산/어촌체험
전체,1,진안읍,진안홍삼축제,전북 진안군,기타문화관광지
전체,2,진안읍,진안홍삼스파,전북 진안군 외사양길 16-10,웰니스관광
전체,3,진안읍,진안종합버스터미널,전북 진안군 진무로 1120-0,교통시설
전체,4,진안읍,진안고원시장,전북 진안군 시장1길 16-0,시장
전체,5,진안읍,마이산북부관광안내소,전북 진안군 마이산로 130-0,기타관광
전체,6,진안읍,진안가위박물관,전북 진안군 마이산로 258-0,전시시설
전체,7,진안읍,진안역사박물관,전북 진안군 내사양길 7-0,전시시설
전체,8,진안읍,마이돈농촌테마공원,전북 진안군 마이산로 160-0,도시공원
전체,9,진안읍,반월제,전북 진안군,자연경관(하천/해양)
전체,10,진안읍,산약초타운,전북 진안군 외사양길 16-19,기타관광
전체,11,진안읍,마이산북부예술관광단지,전북 진안군 외사양길 16-19,복합관광시설
전체,12,진안읍,부귀산전망대,전북 진안군,랜드마크관광
전체,13,진안읍,마이정원,전북 진안군,도시공원
전체,14,진안읍,진안문화의집,전북 진안군 대성길 3-0,기타문화관광지
전체,15,진안읍,진안고추시장,전북 진안군 진무로 1166-0,시장
전체,16,진안읍,진안전통문화전수관,전북 진안군 우화2길 35-0,기타문화관광지
전체,17,진안읍,사양제,전북 진안군,자연경관(하천/해양)
전체,17,진안읍,용담호자연생태습지공원,전북 진안군 진무로 1514-0,도시공원
전체,19,진안읍,마이열차,전북 진안군,기타관광
전체,20,진안읍,마이산여행자센터,전북 진안군 마이산로 160-0,기타관광
전체,20,진안읍,마이산명인명품관,전북 진안군 마이산로 246-0,기타관광
전체,22,진안읍,고림사,전북 진안군 상역로 174-96,종교성지
전체,22,진안읍,진안꽃잔디동산,전북 진안군 전진로 3071-31,테마공원
전체,22,진안읍,산약초전시관,전북 진안군 외사양길 16-19,전시시설
전체,22,진안읍,가림제,전북 진안군,자연경관(하천/해양)
전체,26,진안읍,평강팜스테이,전북 진안군 동구점길 6-98,농/산/어촌체험
전체,26,진안읍,군상제,전북 진안군,자연경관(하천/해양)
현지인,1,진안읍,진안홍삼축제,전북 진안군,기타문화관광지
현지인,2,진안읍,진안홍삼스파,전북 진안군 외사양길 16-10,웰니스관광
현지인,3,진안읍,진안종합버스터미널,전북 진안군 진무로 1120-0,교통시설
현지인,4,진안읍,마이산북부관광안내소,전북 진안군 마이산로 130-0,기타관광
현지인,5,진안읍,진안고원시장,전북 진안군 시장1길 16-0,시장
현지인,6,진안읍,진안가위박물관,전북 진안군 마이산로 258-0,전시시설
현지인,7,진안읍,진안역사박물관,전북 진안군 내사양길 7-0,전시시설
현지인,8,진안읍,마이돈농촌테마공원,전북 진안군 마이산로 160-0,도시공원
현지인,9,진안읍,반월제,전북 진안군,자연경관(하천/해양)
현지인,10,진안읍,마이산북부예술관광단지,전북 진안군 외사양길 16-19,복합관광시설
현지인,10,진안읍,부귀산전망대,전북 진안군,랜드마크관광
현지인,12,진안읍,산약초타운,전북 진안군 외사양길 16-19,기타관광
현지인,12,진안읍,마이정원,전북 진안군,도시공원
현지인,14,진안읍,진안전통문화전수관,전북 진안군 우화2길 35-0,기타문화관광지
현지인,15,진안읍,진안문화의집,전북 진안군 대성길 3-0,기타문화관광지
현지인,15,진안읍,진안고추시장,전북 진안군 진무로 1166-0,시장
현지인,17,진안읍,용담호자연생태습지공원,전북 진안군 진무로 1514-0,도시공원
현지인,18,진안읍,사양제,전북 진안군,자연경관(하천/해양)
현지인,18,진안읍,마이열차,전북 진안군,기타관광
