구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,오곡면,곡성세계장미축제,전남 곡성군 기차마을로 252-16,기타문화관광지
외지인,2,오곡면,섬진강기차마을,전남 곡성군 기차마을로 232-0,기타관광
외지인,3,오곡면,섬진강기차마을장미공원,전남 곡성군 기차마을로 252-16,도시공원
외지인,4,오곡면,가정역폐역,전남 곡성군 섬진강로 1465-0,교통시설
외지인,5,오곡면,섬진강레일바이크,전남 곡성군 섬진강로 1465-0,기타관광
외지인,6,오곡면,압록상상스쿨,전남 곡성군 섬진강로 1060-0,기타문화관광지
외지인,7,오곡면,심청한옥마을,전남 곡성군 심청로 178-0,역사유적지
외지인,8,오곡면,충의공원,전남 곡성군 기차마을로 295-88,도시공원
외지인,9,오곡면,섬진강기차마을드림랜드,전남 곡성군,복합관광시설
외지인,10,오곡면,구성저수지,전남 곡성군,자연경관(하천/해양)
외지인,11,오곡면,압록역,전남 곡성군 섬진강로 1097-0,교통시설
외지인,12,오곡면,침실습지,전남 곡성군 오지3길 0-0,기타관광
외지인,13,오곡면,섬진강기차마을공원,전남 곡성군,도시공원
외지인,14,오곡면,기차마을생태학습관,전남 곡성군 기차마을로 252-16,전시시설
외지인,14,오곡면,곡성기차마을패러글라이딩,전남 곡성군,항공레저스포츠
외지인,16,오곡면,침실습지수변공원,전남 곡성군,도시공원
외지인,16,오곡면,침곡역폐역,전남 곡성군 섬진강로 1877-0,교통시설
외지인,18,오곡면,기차마을레일바이크,전남 곡성군 기차마을로 232-0,기타레저스포츠
전체,1,오곡면,곡성세계장미축제,전남 곡성군 기차마을로 252-16,기타문화관광지
전체,2,오곡면,섬진강기차마을,전남 곡성군 기차마을로 232-0,기타관광
전체,3,오곡면,섬진강기차마을장미공원,전남 곡성군 기차마을로 252-16,도시공원
전체,4,오곡면,섬진강레일바이크,전남 곡성군 섬진강로 1465-0,기타관광
전체,5,오곡면,가정역폐역,전남 곡성군 섬진강로 1465-0,교통시설
전체,6,오곡면,압록상상스쿨,전남 곡성군 섬진강로 1060-0,기타문화관광지
전체,7,오곡면,심청한옥마을,전남 곡성군 심청로 178-0,역사유적지
전체,8,오곡면,충의공원,전남 곡성군 기차마을로 295-88,도시공원
전체,9,오곡면,섬진강기차마을드림랜드,전남 곡성군,복합관광시설
전체,10,오곡면,구성저수지,전남 곡성군,자연경관(하천/해양)
전체,11,오곡면,압록역,전남 곡성군 섬진강로 1097-0,교통시설
전체,12,오곡면,침실습지,전남 곡성군 오지3길 0-0,기타관광
전체,13,오곡면,섬진강기차마을공원,전남 곡성군,도시공원
전체,13,오곡면,기차마을생태학습관,전남 곡성군 기차마을로 252-16,전시시설
전체,15,오곡면,곡성기차마을패러글라이딩,전남 곡성군,항공레저스포츠
전체,15,오곡면,침실습지수변공원,전남 곡성군,도시공원
전체,17,오곡면,침곡역폐역,전남 곡성군 섬진강로 1877-0,교통시설
전체,18,오곡면,기차마을레일바이크,전남 곡성군 기차마을로 232-0,기타레저스포츠
현지인,1,오곡면,곡성세계장미축제,전남 곡성군 기차마을로 252-16,기타문화관광지
현지인,2,오곡면,섬진강기차마을,전남 곡성군 기차마을로 232-0,기타관광
현지인,3,오곡면,섬진강레일바이크,전남 곡성군 섬진강로 1465-0,기타관광
현지인,4,오곡면,섬진강기차마을장미공원,전남 곡성군 기차마을로 252-16,도시공원
현지인,5,오곡면,가정역폐역,전남 곡성군 섬진강로 1465-0,교통시설
현지인,6,오곡면,심청한옥마을,전남 곡성군 심청로 178-0,역사유적지
현지인,7,오곡면,압록상상스쿨,전남 곡성군 섬진강로 1060-0,기타문화관광지
현지인,8,오곡면,충의공원,전남 곡성군 기차마을로 295-88,도시공원
현지인,9,오곡면,구성저수지,전남 곡성군,자연경관(하천/해양)
현지인,10,오곡면,섬진강기차마을드림랜드,전남 곡성군,복합관광시설
현지인,11,오곡면,압록역,전남 곡성군 섬진강로 1097-0,교통시설
현지인,12,오곡면,침실습지,전남 곡성군 오지3길 0-0,기타관광
현지인,12,오곡면,기차마을생태학습관,전남 곡성군 기차마을로 252-16,전시시설
현지인,12,오곡면,침실습지수변공원,전남 곡성군,도시공원
현지인,15,오곡면,섬진강기차마을공원,전남 곡성군,도시공원
현지인,15,오곡면,곡성기차마을패러글라이딩,전남 곡성군,항공레저스포츠
현지인,17,오곡면,기차마을레일바이크,전남 곡성군 기차마을로 232-0,기타레저스포츠
현지인,17,오곡면,침곡역폐역,전남 곡성군 섬진강로 1877-0,교통시설
