축제명,그룹명,개최년도,구분명,지표값
평창송어축제,축제기간,2025,외부방문자 유입,0.428
평창송어축제,축제기간,2025,현지인방문자 유입,0.688
평창송어축제,축제기간,2025,내비게이션 검색량,0.223
평창송어축제,축제기간,2025,관광소비,0.517
평창송어축제,축제기간,2025,축제지 집중률,0.499
평창송어축제,비축제기간,2025,외부방문자 유입,0.379
평창송어축제,비축제기간,2025,현지인방문자 유입,0.729
평창송어축제,비축제기간,2025,내비게이션 검색량,0.132
평창송어축제,비축제기간,2025,관광소비,0.325
평창송어축제,비축제기간,2025,축제지 집중률,0.495
평창송어축제,축제기간,2024,외부방문자 유입,0.32
평창송어축제,축제기간,2024,현지인방문자 유입,0.639
평창송어축제,축제기간,2024,내비게이션 검색량,0.166
평창송어축제,축제기간,2024,관광소비,0.464
평창송어축제,축제기간,2024,축제지 집중률,0.524
평창송어축제,비축제기간,2024,외부방문자 유입,0.346
평창송어축제,비축제기간,2024,현지인방문자 유입,0.733
평창송어축제,비축제기간,2024,내비게이션 검색량,0.118
평창송어축제,비축제기간,2024,관광소비,0.326
평창송어축제,비축제기간,2024,축제지 집중률,0.525
평창송어축제,축제기간,2023,외부방문자 유입,0.326
평창송어축제,축제기간,2023,현지인방문자 유입,0.697
평창송어축제,축제기간,2023,내비게이션 검색량,0.267
평창송어축제,축제기간,2023,관광소비,0.435
평창송어축제,축제기간,2023,축제지 집중률,0.473
평창송어축제,비축제기간,2023,외부방문자 유입,0.318
평창송어축제,비축제기간,2023,현지인방문자 유입,0.798
평창송어축제,비축제기간,2023,내비게이션 검색량,0.197
평창송어축제,비축제기간,2023,관광소비,0.283
평창송어축제,비축제기간,2023,축제지 집중률,0.464
