구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,낙성대동,낙성대공원,서울 관악구 낙성대로 77-0,도시공원
외지인,2,낙성대동,서울특별시교육청융합과학교육원본원,서울 관악구 낙성대로 101-0,전시시설
외지인,3,낙성대동,관악문화예절원,서울 관악구 낙성대로3길 45-0,체험관광기타
외지인,4,낙성대동,낙성대축구전용구장,서울 관악구 낙성대로 104-0,레저스포츠시설
외지인,5,낙성대동,관악강감찬축제,서울 관악구 낙성대로 77-0,기타문화관광지
외지인,6,낙성대동,서울시민대학다시가는캠퍼스,서울 관악구 낙성대로 70-0,체험관광기타
외지인,7,낙성대동,강감찬텃밭,서울 관악구,농/산/어촌체험
외지인,8,낙성대동,관악구민운동장인조잔디구장,서울 관악구 낙성대로 40-0,레저스포츠시설
외지인,9,낙성대동,안국사,서울 관악구 낙성대로 77-0,기타관광
외지인,10,낙성대동,모래내어린이공원,서울 관악구,도시공원
외지인,10,낙성대동,덕수공원,서울 관악구,도시공원
외지인,12,낙성대동,강감찬생가터,서울 관악구,역사유적지
외지인,13,낙성대동,관악축구센터,서울 관악구 관악로 116-0,기타레저스포츠
외지인,14,낙성대동,구민운동장,서울 관악구,도시공원
외지인,15,낙성대동,강감찬전시관,서울 관악구 낙성대로 77-0,전시시설
전체,1,낙성대동,낙성대공원,서울 관악구 낙성대로 77-0,도시공원
전체,2,낙성대동,서울특별시교육청융합과학교육원본원,서울 관악구 낙성대로 101-0,전시시설
전체,3,낙성대동,관악문화예절원,서울 관악구 낙성대로3길 45-0,체험관광기타
전체,4,낙성대동,낙성대축구전용구장,서울 관악구 낙성대로 104-0,레저스포츠시설
전체,5,낙성대동,관악강감찬축제,서울 관악구 낙성대로 77-0,기타문화관광지
전체,6,낙성대동,강감찬텃밭,서울 관악구,농/산/어촌체험
전체,7,낙성대동,서울시민대학다시가는캠퍼스,서울 관악구 낙성대로 70-0,체험관광기타
전체,8,낙성대동,관악구민운동장인조잔디구장,서울 관악구 낙성대로 40-0,레저스포츠시설
전체,9,낙성대동,안국사,서울 관악구 낙성대로 77-0,기타관광
전체,10,낙성대동,덕수공원,서울 관악구,도시공원
전체,10,낙성대동,강감찬생가터,서울 관악구,역사유적지
전체,10,낙성대동,관악축구센터,서울 관악구 관악로 116-0,기타레저스포츠
전체,13,낙성대동,모래내어린이공원,서울 관악구,도시공원
전체,14,낙성대동,구민운동장,서울 관악구,도시공원
전체,15,낙성대동,강감찬전시관,서울 관악구 낙성대로 77-0,전시시설
현지인,1,낙성대동,낙성대공원,서울 관악구 낙성대로 77-0,도시공원
현지인,2,낙성대동,서울특별시교육청융합과학교육원본원,서울 관악구 낙성대로 101-0,전시시설
현지인,3,낙성대동,관악문화예절원,서울 관악구 낙성대로3길 45-0,체험관광기타
현지인,4,낙성대동,관악강감찬축제,서울 관악구 낙성대로 77-0,기타문화관광지
현지인,5,낙성대동,강감찬텃밭,서울 관악구,농/산/어촌체험
현지인,6,낙성대동,낙성대축구전용구장,서울 관악구 낙성대로 104-0,레저스포츠시설
현지인,7,낙성대동,서울시민대학다시가는캠퍼스,서울 관악구 낙성대로 70-0,체험관광기타
현지인,8,낙성대동,관악구민운동장인조잔디구장,서울 관악구 낙성대로 40-0,레저스포츠시설
현지인,9,낙성대동,관악축구센터,서울 관악구 관악로 116-0,기타레저스포츠
현지인,10,낙성대동,강감찬생가터,서울 관악구,역사유적지
현지인,11,낙성대동,덕수공원,서울 관악구,도시공원
현지인,12,낙성대동,모래내어린이공원,서울 관악구,도시공원
현지인,12,낙성대동,안국사,서울 관악구 낙성대로 77-0,기타관광
현지인,14,낙성대동,구민운동장,서울 관악구,도시공원
현지인,15,낙성대동,강감찬전시관,서울 관악구 낙성대로 77-0,전시시설
