축제명,그룹명,개최년도,구분명,지표값
대구치맥페스티벌,축제기간,2025,외부방문자 유입,0.768
대구치맥페스티벌,축제기간,2025,현지인방문자 유입,0.876
대구치맥페스티벌,축제기간,2025,내비게이션 검색량,0.319
대구치맥페스티벌,축제기간,2025,관광소비,0.608
대구치맥페스티벌,축제기간,2025,축제지 집중률,0.909
대구치맥페스티벌,비축제기간,2025,외부방문자 유입,0.382
대구치맥페스티벌,비축제기간,2025,현지인방문자 유입,0.642
대구치맥페스티벌,비축제기간,2025,내비게이션 검색량,0.178
대구치맥페스티벌,비축제기간,2025,관광소비,0.575
대구치맥페스티벌,비축제기간,2025,축제지 집중률,0.462
대구치맥페스티벌,축제기간,2024,외부방문자 유입,0.733
대구치맥페스티벌,축제기간,2024,현지인방문자 유입,0.894
대구치맥페스티벌,축제기간,2024,내비게이션 검색량,0.654
대구치맥페스티벌,축제기간,2024,관광소비,0.586
대구치맥페스티벌,축제기간,2024,축제지 집중률,0.898
대구치맥페스티벌,비축제기간,2024,외부방문자 유입,0.357
대구치맥페스티벌,비축제기간,2024,현지인방문자 유입,0.638
대구치맥페스티벌,비축제기간,2024,내비게이션 검색량,0.339
대구치맥페스티벌,비축제기간,2024,관광소비,0.567
대구치맥페스티벌,비축제기간,2024,축제지 집중률,0.454
대구치맥페스티벌,축제기간,2023,외부방문자 유입,0.832
대구치맥페스티벌,축제기간,2023,현지인방문자 유입,0.872
대구치맥페스티벌,축제기간,2023,내비게이션 검색량,0.551
대구치맥페스티벌,축제기간,2023,관광소비,0.652
대구치맥페스티벌,축제기간,2023,축제지 집중률,0.896
대구치맥페스티벌,비축제기간,2023,외부방문자 유입,0.393
대구치맥페스티벌,비축제기간,2023,현지인방문자 유입,0.599
대구치맥페스티벌,비축제기간,2023,내비게이션 검색량,0.296
대구치맥페스티벌,비축제기간,2023,관광소비,0.629
대구치맥페스티벌,비축제기간,2023,축제지 집중률,0.436
