축제명,그룹명,개최년도,구분명,지표값
임실N치즈축제,축제기간,2025,외부방문자 유입,0.64
임실N치즈축제,축제기간,2025,현지인방문자 유입,0.9
임실N치즈축제,축제기간,2025,내비게이션 검색량,0.626
임실N치즈축제,축제기간,2025,관광소비,0.68
임실N치즈축제,축제기간,2025,축제지 집중률,0.747
임실N치즈축제,비축제기간,2025,외부방문자 유입,0.098
임실N치즈축제,비축제기간,2025,현지인방문자 유입,0.304
임실N치즈축제,비축제기간,2025,내비게이션 검색량,0.045
임실N치즈축제,비축제기간,2025,관광소비,0.384
임실N치즈축제,비축제기간,2025,축제지 집중률,0.242
임실N치즈축제,축제기간,2024,외부방문자 유입,0.805
임실N치즈축제,축제기간,2024,현지인방문자 유입,0.916
임실N치즈축제,축제기간,2024,내비게이션 검색량,0.788
임실N치즈축제,축제기간,2024,관광소비,0.898
임실N치즈축제,축제기간,2024,축제지 집중률,0.773
임실N치즈축제,비축제기간,2024,외부방문자 유입,0.152
임실N치즈축제,비축제기간,2024,현지인방문자 유입,0.264
임실N치즈축제,비축제기간,2024,내비게이션 검색량,0.087
임실N치즈축제,비축제기간,2024,관광소비,0.516
임실N치즈축제,비축제기간,2024,축제지 집중률,0.242
임실N치즈축제,축제기간,2023,외부방문자 유입,0.698
임실N치즈축제,축제기간,2023,현지인방문자 유입,0.889
임실N치즈축제,축제기간,2023,내비게이션 검색량,0.66
임실N치즈축제,축제기간,2023,관광소비,0.78
임실N치즈축제,축제기간,2023,축제지 집중률,0.774
임실N치즈축제,비축제기간,2023,외부방문자 유입,0.129
임실N치즈축제,비축제기간,2023,현지인방문자 유입,0.221
임실N치즈축제,비축제기간,2023,내비게이션 검색량,0.088
임실N치즈축제,비축제기간,2023,관광소비,0.54
임실N치즈축제,비축제기간,2023,축제지 집중률,0.213
