구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,함평읍,함평나비대축제,전남 함평군 곤재로 27-0,기타문화관광지
외지인,2,함평읍,함평엑스포공원,전남 함평군 곤재로 27-0,도시공원
외지인,3,함평읍,돌머리해변,전남 함평군,자연경관(하천/해양)
외지인,4,함평읍,함평시외버스터미널,전남 함평군 중앙길 46-0,교통시설
외지인,5,함평읍,함평천지전통시장,전남 함평군 시장길 49-0,시장
외지인,6,함평읍,함평천지CC,전남 함평군 함장로 889-11,육상레저스포츠
외지인,7,함평읍,함평자동차극장,전남 함평군 곤재로 27-0,공연시설
외지인,8,함평읍,함평엑스포공원나비곤충생태관,전남 함평군 곤재로 27-0,전시시설
외지인,9,함평읍,함평엑스포공원주제영상관,전남 함평군 곤재로 27-0,전시시설
외지인,10,함평읍,함평군립미술관,전남 함평군 곤재로 27-0,전시시설
외지인,11,함평읍,황금박쥐생태전시관,전남 함평군 곤재로 36-13,전시시설
외지인,12,함평읍,함평파크골프장,전남 함평군 곤재로 83-0,육상레저스포츠
외지인,13,함평읍,함평엑스포물놀이장,전남 함평군 곤재로 27-0,테마공원
외지인,14,함평읍,주포항,전남 함평군 주포로 388-0,자연경관(하천/해양)
외지인,15,함평읍,함평추억공작소,전남 함평군 함장로 1160-0,전시시설
외지인,16,함평읍,제26회함평나비대축제어린이한마당 잔치 및 경연대회,전남 함평군 곤재로 27-0,기타문화관광지
외지인,17,함평읍,억새밸리존,전남 함평군,기타관광
외지인,18,함평읍,관음사,전남 함평군 남일길 128-33,종교성지
외지인,19,함평읍,함평우시장,전남 함평군,시장
전체,1,함평읍,함평나비대축제,전남 함평군 곤재로 27-0,기타문화관광지
전체,2,함평읍,함평엑스포공원,전남 함평군 곤재로 27-0,도시공원
전체,3,함평읍,돌머리해변,전남 함평군,자연경관(하천/해양)
전체,4,함평읍,함평시외버스터미널,전남 함평군 중앙길 46-0,교통시설
전체,5,함평읍,함평천지전통시장,전남 함평군 시장길 49-0,시장
전체,6,함평읍,함평천지CC,전남 함평군 함장로 889-11,육상레저스포츠
전체,7,함평읍,함평자동차극장,전남 함평군 곤재로 27-0,공연시설
전체,8,함평읍,함평엑스포공원나비곤충생태관,전남 함평군 곤재로 27-0,전시시설
전체,9,함평읍,함평엑스포공원주제영상관,전남 함평군 곤재로 27-0,전시시설
전체,10,함평읍,함평군립미술관,전남 함평군 곤재로 27-0,전시시설
전체,11,함평읍,황금박쥐생태전시관,전남 함평군 곤재로 36-13,전시시설
전체,12,함평읍,함평파크골프장,전남 함평군 곤재로 83-0,육상레저스포츠
전체,13,함평읍,함평엑스포물놀이장,전남 함평군 곤재로 27-0,테마공원
전체,14,함평읍,주포항,전남 함평군 주포로 388-0,자연경관(하천/해양)
전체,15,함평읍,함평추억공작소,전남 함평군 함장로 1160-0,전시시설
전체,16,함평읍,제26회함평나비대축제어린이한마당 잔치 및 경연대회,전남 함평군 곤재로 27-0,기타문화관광지
전체,17,함평읍,억새밸리존,전남 함평군,기타관광
전체,18,함평읍,관음사,전남 함평군 남일길 128-33,종교성지
전체,19,함평읍,함평우시장,전남 함평군,시장
현지인,1,함평읍,함평나비대축제,전남 함평군 곤재로 27-0,기타문화관광지
현지인,2,함평읍,함평엑스포공원,전남 함평군 곤재로 27-0,도시공원
현지인,3,함평읍,돌머리해변,전남 함평군,자연경관(하천/해양)
현지인,4,함평읍,함평시외버스터미널,전남 함평군 중앙길 46-0,교통시설
현지인,5,함평읍,함평천지전통시장,전남 함평군 시장길 49-0,시장
현지인,6,함평읍,함평천지CC,전남 함평군 함장로 889-11,육상레저스포츠
현지인,7,함평읍,함평자동차극장,전남 함평군 곤재로 27-0,공연시설
현지인,8,함평읍,함평엑스포공원나비곤충생태관,전남 함평군 곤재로 27-0,전시시설
현지인,9,함평읍,함평엑스포공원주제영상관,전남 함평군 곤재로 27-0,전시시설
현지인,10,함평읍,함평군립미술관,전남 함평군 곤재로 27-0,전시시설
현지인,11,함평읍,황금박쥐생태전시관,전남 함평군 곤재로 36-13,전시시설
현지인,12,함평읍,함평파크골프장,전남 함평군 곤재로 83-0,육상레저스포츠
현지인,13,함평읍,함평엑스포물놀이장,전남 함평군 곤재로 27-0,테마공원
현지인,14,함평읍,주포항,전남 함평군 주포로 388-0,자연경관(하천/해양)
현지인,15,함평읍,억새밸리존,전남 함평군,기타관광
현지인,16,함평읍,함평추억공작소,전남 함평군 함장로 1160-0,전시시설
현지인,17,함평읍,함평우시장,전남 함평군,시장
현지인,17,함평읍,제26회함평나비대축제어린이한마당 잔치 및 경연대회,전남 함평군 곤재로 27-0,기타문화관광지
현지인,17,함평읍,관음사,전남 함평군 남일길 128-33,종교성지
