축제명,그룹명,개최년도,구분명,지표값
강릉커피축제,축제기간,2025,외부방문자 유입,0.466
강릉커피축제,축제기간,2025,현지인방문자 유입,0.891
강릉커피축제,축제기간,2025,내비게이션 검색량,0.611
강릉커피축제,축제기간,2025,관광소비,0.41
강릉커피축제,축제기간,2025,축제지 집중률,0.857
강릉커피축제,비축제기간,2025,외부방문자 유입,0.338
강릉커피축제,비축제기간,2025,현지인방문자 유입,0.637
강릉커피축제,비축제기간,2025,내비게이션 검색량,0.319
강릉커피축제,비축제기간,2025,관광소비,0.388
강릉커피축제,비축제기간,2025,축제지 집중률,0.628
강릉커피축제,축제기간,2024,외부방문자 유입,0.546
강릉커피축제,축제기간,2024,현지인방문자 유입,0.965
강릉커피축제,축제기간,2024,내비게이션 검색량,0.533
강릉커피축제,축제기간,2024,관광소비,0.511
강릉커피축제,축제기간,2024,축제지 집중률,0.968
강릉커피축제,비축제기간,2024,외부방문자 유입,0.38
강릉커피축제,비축제기간,2024,현지인방문자 유입,0.768
강릉커피축제,비축제기간,2024,내비게이션 검색량,0.347
강릉커피축제,비축제기간,2024,관광소비,0.458
강릉커피축제,비축제기간,2024,축제지 집중률,0.806
강릉커피축제,축제기간,2023,외부방문자 유입,0.395
강릉커피축제,축제기간,2023,현지인방문자 유입,0.917
강릉커피축제,축제기간,2023,내비게이션 검색량,0.805
강릉커피축제,축제기간,2023,관광소비,0.35
강릉커피축제,축제기간,2023,축제지 집중률,0.762
강릉커피축제,비축제기간,2023,외부방문자 유입,0.414
강릉커피축제,비축제기간,2023,현지인방문자 유입,0.808
강릉커피축제,비축제기간,2023,내비게이션 검색량,0.36
강릉커피축제,비축제기간,2023,관광소비,0.411
강릉커피축제,비축제기간,2023,축제지 집중률,0.678
